               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024806,            0.029205,                   0,             0.85946,             0.62642,             0.73279,             0.56841,            0.036339,            0.091275,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.024079,            0.028689,                   0,             0.82723,             0.62887,             0.71676,             0.54517,            0.038555,             0.09054,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.024247,            0.028953,                   0,             0.85031,             0.61848,             0.71752,             0.54331,            0.038489,            0.091232,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.024231,            0.028912,                   0,             0.81554,             0.61458,             0.70256,             0.53894,            0.039357,            0.091143,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023958,            0.028115,                   0,             0.81188,             0.63059,              0.7166,             0.55293,            0.037697,            0.095846,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023547,            0.028507,                   0,             0.87533,             0.57437,             0.68899,             0.53486,            0.039718,             0.10019,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.023879,            0.028302,                   0,             0.84555,             0.64378,             0.73548,              0.5602,            0.037544,            0.088672,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,             0.02346,            0.028036,                   0,             0.83814,             0.61943,             0.71353,             0.55368,            0.037199,            0.093457,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.023316,            0.027839,                   0,             0.84062,             0.61299,             0.70599,             0.54507,            0.038451,            0.094181,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.023055,            0.027541,                   0,             0.81995,             0.63432,             0.72466,             0.55363,            0.037136,            0.091045,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.023069,            0.027364,                   0,             0.81584,             0.62414,             0.70891,             0.54435,            0.038692,            0.090718,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.023041,            0.027625,                   0,             0.86851,             0.60479,             0.71527,             0.55337,            0.038797,            0.085397,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.022867,            0.027108,                   0,             0.86746,             0.61232,             0.72781,             0.56708,            0.036701,             0.09223,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.022631,            0.027045,                   0,             0.87456,              0.6056,             0.72403,             0.56094,            0.036828,            0.090745,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.022489,             0.02717,                   0,             0.84478,             0.62393,             0.72001,             0.55769,            0.036741,            0.093486,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.022511,            0.026883,                   0,             0.81273,             0.61305,             0.69882,             0.54868,            0.038725,            0.092971,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.022246,            0.026905,                   0,             0.83756,             0.64911,             0.73324,             0.57085,            0.035676,            0.094133,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.022225,             0.02651,                   0,              0.8668,             0.62203,             0.72074,             0.56155,            0.036645,            0.092159,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.021897,            0.026431,                   0,             0.85982,             0.60816,             0.71832,             0.56544,            0.037402,            0.093303,                   0,            0.004796,            0.004796,            0.004796
                  57,             0.02174,            0.026341,                   0,             0.84373,             0.60337,              0.6979,             0.54802,            0.039572,            0.089983,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.021893,            0.026374,                   0,             0.85182,             0.61858,             0.71467,             0.56148,            0.038208,            0.088729,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.021563,            0.026162,                   0,              0.8716,             0.60848,             0.71152,             0.55578,            0.038592,            0.090061,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.021576,            0.026123,                   0,             0.85785,             0.64423,             0.73725,             0.57279,            0.036962,            0.085821,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.021719,            0.026009,                   0,             0.86188,              0.6025,             0.70305,             0.55575,            0.039227,            0.090276,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.021484,            0.025601,                   0,             0.85754,             0.62611,             0.72062,             0.57312,            0.037199,              0.0909,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.021537,            0.025708,                   0,             0.82987,             0.64301,             0.73386,             0.57745,            0.036223,            0.088165,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.021298,            0.025734,                   0,             0.86156,             0.64405,             0.74406,              0.5814,            0.035673,            0.087648,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.021367,            0.025586,                   0,             0.88181,             0.63837,             0.74055,             0.58261,            0.035898,            0.086614,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.021188,             0.02575,                   0,               0.868,             0.62978,             0.72066,             0.57278,            0.037872,            0.092883,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.021144,            0.025272,                   0,             0.85596,             0.62073,             0.71044,              0.5643,            0.038442,            0.091539,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.020949,            0.025126,                   0,             0.87512,             0.63426,             0.73229,             0.57824,            0.036477,            0.090597,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.020926,            0.025186,                   0,              0.8731,             0.66284,             0.75148,             0.58844,            0.035386,            0.088658,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.020664,            0.024939,                   0,             0.85992,             0.63537,             0.72655,             0.56883,            0.037534,            0.086162,                   0,           0.0029706,           0.0029706,           0.0029706
